split,source_index,dataset,task
conformal-calib,8660,Pokedex Dataset,Variance Test
conformal-calib,3431,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,2768,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,7315,Crop Production Dataset,Variance Test
conformal-calib,3179,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8137,Student Performance Prediction Dataset,Variance Test
conformal-calib,9528,Income and Happiness Score Dataset,Variance Test
conformal-calib,826,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,5911,Crop Production Dataset,Variance Test
conformal-calib,1299,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,7778,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,4274,Obesity or CVD Risk Dataset,Descriptive Statistics
conformal-calib,1805,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,9070,Crop Production Dataset,Variance Test
conformal-calib,6626,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,10151,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9941,University Rank Dataset,Variance Test
conformal-calib,2606,Jobs and Salaries Dataset,Descriptive Statistics
conformal-calib,5346,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,285,Customer Personality Analysis Dataset,Contingency Table Test
conformal-calib,8083,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,5689,Monroe County Car Crach Dataset,Contingency Table Test
conformal-calib,9342,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,7828,Student Information and Grades Dataset,Contingency Table Test
conformal-calib,6871,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,10262,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,4494,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,1191,Rainfall Dataset of Barak Velly,Variance Test
conformal-calib,2344,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,7990,FIFA Official Dataset 2023,Variance Test
conformal-calib,7962,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,4325,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,7015,Pokedex Dataset,Correlation Analysis
conformal-calib,1091,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,1885,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,867,Dataset for Admission in the University,Variance Test
conformal-calib,9188,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,2093,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,10040,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,6748,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,9265,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,1414,Salary Dataset by Job Title and Country,Distribution Compliance Test
conformal-calib,3632,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,4128,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,963,Student Information and Grades Dataset,Descriptive Statistics
conformal-calib,1393,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,6312,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,9008,Bank Customer Churn Prediction Dataset,Descriptive Statistics
conformal-calib,370,Used Car Dataset,Variance Test
conformal-calib,263,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4341,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,2440,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,5220,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,5706,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
conformal-calib,8039,US Christmas Tree Sales Dataset,Distribution Compliance Test
conformal-calib,1714,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,5391,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,4068,Student Performance Prediction Dataset,Variance Test
conformal-calib,4261,US Christmas Tree Sales Dataset,Distribution Compliance Test
conformal-calib,6061,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3313,Crop Production Dataset,Variance Test
conformal-calib,5590,Dataset for Admission in the University,Variance Test
conformal-calib,8765,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,1429,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,7000,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,5216,Dataset for Admission in the University,Variance Test
conformal-calib,7458,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,5469,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,5698,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,3858,Exercise and Fitness Metrics Dataset,Correlation Analysis
conformal-calib,103,Student Performance Prediction Dataset,Variance Test
conformal-calib,5125,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,10229,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,3426,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,8285,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,8109,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,3567,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,9024,Stroke Prediction Dataset,Distribution Compliance Test
conformal-calib,1749,Crop Production Dataset,Variance Test
conformal-calib,6379,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,779,Crop Production Dataset,Variance Test
conformal-calib,9,Used Car Dataset,Distribution Compliance Test
conformal-calib,639,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,8330,Crop Production Dataset,Distribution Compliance Test
conformal-calib,795,Pokedex Dataset,Distribution Compliance Test
conformal-calib,4359,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,5566,Student Information and Grades Dataset,Descriptive Statistics
conformal-calib,8013,Heart Failure Prediction Dataset,Variance Test
conformal-calib,9763,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,3982,Los Angeles Library Monthly Statistics,Descriptive Statistics
conformal-calib,9997,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,7689,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,7636,Students Math-Reading-Writing Performance Dataset,Descriptive Statistics
conformal-calib,2688,Used Car Dataset,Variance Test
conformal-calib,7560,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,2354,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,8500,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,7770,Salary Dataset by Job Title and Country,Descriptive Statistics
conformal-calib,76,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,3595,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,2798,Rainfall Dataset of Barak Velly,Variance Test
conformal-calib,7312,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,8734,Students Math-Reading-Writing Performance Dataset,Distribution Compliance Test
conformal-calib,1910,Jobs and Salaries Dataset,Distribution Compliance Test
conformal-calib,2702,Rainfall Dataset of Barak Velly,Variance Test
conformal-calib,8130,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,6100,Students Math-Reading-Writing Performance Dataset,Contingency Table Test
conformal-calib,3120,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,1563,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,10154,Crop Production Dataset,Variance Test
conformal-calib,1850,Bank Customer Churn Prediction Dataset,Variance Test
conformal-calib,1466,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,2528,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,3465,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,6709,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,5739,Pokedex Dataset,Correlation Analysis
conformal-calib,6911,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,10046,Pokedex Dataset,Descriptive Statistics
conformal-calib,886,US Christmas Tree Sales Dataset,Descriptive Statistics
conformal-calib,1264,Housing Price Dataset,Descriptive Statistics
conformal-calib,8430,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,8808,Exercise and Fitness Metrics Dataset,Descriptive Statistics
conformal-calib,441,Pokedex Dataset,Distribution Compliance Test
conformal-calib,3121,Used Car Dataset,Descriptive Statistics
conformal-calib,5934,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,10098,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,5901,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,245,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,1038,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
conformal-calib,2625,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,7333,Real Estate Valuation Dataset,Descriptive Statistics
conformal-calib,9596,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,10293,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,10358,Students New MRW Score Dataset,Distribution Compliance Test
conformal-calib,7096,Rainfall Dataset of Barak Velly,Variance Test
conformal-calib,8681,Used Car Dataset,Descriptive Statistics
conformal-calib,5828,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4764,Pokedex Dataset,Descriptive Statistics
conformal-calib,7280,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,6588,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,5740,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,4199,Real Estate Valuation Dataset,Distribution Compliance Test
conformal-calib,1814,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,789,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,4708,FIFA Official Dataset 2023,Variance Test
conformal-calib,2741,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,3098,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,5767,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3727,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,9294,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,2628,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,7005,Los Angeles Library Monthly Statistics,Correlation Analysis
conformal-calib,3065,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,2304,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,8979,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,6532,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,6183,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,3926,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9212,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,1073,Student Performance Prediction Dataset,Variance Test
conformal-calib,1437,Used Car Dataset,Distribution Compliance Test
conformal-calib,10035,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,816,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,4802,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,8881,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,9781,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8431,Crop Production Dataset,Variance Test
conformal-calib,2180,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,4895,Crop Production Dataset,Variance Test
conformal-calib,1782,Crop Production Dataset,Variance Test
conformal-calib,273,GPA Study Hours Dataset,Variance Test
conformal-calib,2582,Bank Customer Churn Prediction Dataset,Correlation Analysis
conformal-calib,10407,Students New MRW Score Dataset,Variance Test
conformal-calib,6157,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,7198,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,3191,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,506,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,10166,Jobs and Salaries Dataset,Contingency Table Test
conformal-calib,1077,Heart Failure Prediction Dataset,Distribution Compliance Test
conformal-calib,9802,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,9194,Used Car Dataset,Variance Test
